,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
21,Milford School District,Orchard Hills School,Public Schools,841811,185 Marino Dr.,Milford,06460-6799,203-783-3566,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"185 Marino Dr.
Milford, CT 06460-6799
(41.221149, -73.022914)","185 Marino Dr., Milford, Connecticut, USA","185 Marino Dr, Milford, CT 06460, USA",41.2204316,-73.02384049999999
22,Capitol Region Education Council,Reggio Magnet School of the Arts,Regional Education Service Center Schools,2410314,59 Waterville Road,Avon,06001,860-674-8549,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,1.0,"59 Waterville Road
Avon, CT 06001
(41.800944, -72.819028)","59 Waterville Road, Avon, Connecticut, USA","59 Waterville Rd, Avon, CT 06001, USA",41.80106,-72.8206215
23,Hamden School District,Ridge Hill School,Public Schools,621111,120 Carew Rd.,Hamden,06517-2906,203-407-2035,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"120 Carew Rd.
Hamden, CT 06517-2906
(41.346733, -72.897514)","120 Carew Rd., Hamden, Connecticut, USA","120 Carew Rd, Hamden, CT 06517, USA",41.3469819,-72.8965317
24,Thompson School District,Tourtellotte Memorial High School,Public Schools,1416111,785 Riverside Dr.,North Grosvenordale,06255-0835,860-923-9303,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"785 Riverside Dr.
North Grosvenordale, CT 06255-0835
(41.976913, -71.900699)","785 Riverside Dr., North Grosvenordale, Connecticut, USA","785 Riverside Dr, North Grosvenor Dale, CT 06255, USA",41.9772571,-71.89771
25,Waterbury School District,Carrington School,Public Schools,1512711,24 Kenmore Ave.,Waterbury,06708-1845,203-574-8184,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"24 Kenmore Ave.
Waterbury, CT 06708-1845
(41.572176, -73.082798)","24 Kenmore Ave., Waterbury, Connecticut, USA","24 Kenmore Ave, Waterbury, CT 06708, USA",41.5731379,-73.0848992
26,Guilford School District,Guilford School District,Public School Districts,600011,"Box 367, 55 Park Street",Guilford,06437,203-453-8200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,,"Box 367, 55 Park Street, Guilford, Connecticut, USA","55 Park St #367, Guilford, CT 06437, USA",41.2837996,-72.6811507
27,Norwalk School District,Norwalk School District,Public School Districts,1030011,"125 East Avenue, Box 6001",Norwalk,06852,203-854-4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"125 East Avenue, Box 6001
Norwalk, CT 06852
(41.113124, -73.407659)","125 East Avenue, Box 6001, Norwalk, Connecticut, USA","125 East Ave, Norwalk, CT 06851, USA",41.1131515,-73.4066946
28,Regional School District 01,Housatonic Valley Regional High School,Regional Schools,2016112,246 Warren Turnpike Rd.,Falls Village,06031-1600,860-824-5123,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0.0,"246 Warren Turnpike Rd.
Falls Village, CT 06031-1600
(41.936793, -73.361074)","246 Warren Turnpike Rd., Falls Village, Connecticut, USA","246 Warren Turnpike Rd, Falls Village, CT 06031, USA",41.9370764,-73.3623039
29,Enfield School District,Enfield School District,Public School Districts,490011,1010 Enfield Street,Enfield,06082,860-253-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"1010 Enfield Street
Enfield, CT 06082
(41.994001, -72.594205)","1010 Enfield Street, Enfield, Connecticut, USA","1010 Enfield St, Enfield, CT 06082, USA",41.9938827,-72.5948806
30,Wallingford School District,Mark T. Sheehan High School,Public Schools,1486211,142 Hope Hill Road,Wallingford,06492-2254,203-294-5900,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"142 Hope Hill Road
Wallingford, CT 06492-2254
(41.48641, -72.832693)","142 Hope Hill Road, Wallingford, Connecticut, USA","142 Hope Hill Rd, Wallingford, CT 06492, USA",41.4854285,-72.8355775
31,New Britain School District,Vance Elementary School,Public Schools,891511,183 Vance St.,New Britain,06052-1634,860-225-8731,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"183 Vance St.
New Britain, CT 06052-1634
(41.654237, -72.792242)","183 Vance St., New Britain, Connecticut, USA","183 Vance St, New Britain, CT 06052, USA",41.6543897,-72.7927382
32,Regional School District 16,Regional School District 16,Regional School Districts,2160012,30 Coer Road,Prospect,06712,203-758-6671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0.0,"30 Coer Road
Prospect, CT 06712
(41.498072, -72.974241)","30 Coer Road, Prospect, Connecticut, USA","Canfield Park, 30 Coer Rd, Prospect, CT 06712, USA",41.4980812,-72.9754445
33,West Haven School District,Washington School,Public Schools,1561211,369 Washington Ave.,West Haven,06516-5328,203-931-6880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"369 Washington Ave.
West Haven, CT 06516-5328
(41.268737, -72.946443)","369 Washington Ave., West Haven, Connecticut, USA","369 Washington Ave, West Haven, CT 06516, USA",41.2688719,-72.9459962
34,Middletown School District,Wesley School,Public Schools,831411,10 Wesleyan Hills Rd.,Middletown,06457-4972,860-344-0381,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"10 Wesleyan Hills Rd.
Middletown, CT 06457-4972
(41.524185, -72.666089)","10 Wesleyan Hills Rd., Middletown, Connecticut, USA","10 Wesleyan Hills Rd, Middletown, CT 06457, USA",41.524797,-72.6685337
35,East Lyme School District,East Lyme Middle School,Public Schools,455111,31 Society Rd.,Niantic,06357,860-739-4491,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"31 Society Rd.
Niantic, CT 06357
(41.347027, -72.215119)","31 Society Rd., Niantic, Connecticut, USA","31 Society Rd, Niantic, CT 06357, USA",41.3500968,-72.2136159
36,West Hartford School District,Braeburn School,Public Schools,1550211,45 Braeburn Rd.,West Hartford,06107-1605,860-561-2200,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"45 Braeburn Rd.
West Hartford, CT 06107-1605
(41.762827, -72.761038)","45 Braeburn Rd., West Hartford, Connecticut, USA","45 Braeburn Rd, West Hartford, CT 06107, USA",41.7613512,-72.7607886
37,Andover School District,Andover School District,Public School Districts,10011,35 School Road,Andover,06232,860-742-7339,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,"35 School Road
Andover, CT 06232
(41.727913, -72.365927)","35 School Road, Andover, Connecticut, USA","35 School Rd, Andover, CT 06232, USA",41.7284939,-72.36635249999999
38,Department of Mental Health and Addiction Services,River Valley Services,State Agency Facilities,3370815,"Leak Hall, Silver Street, P.O. Box 351",Middletown,06457,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0.0,,"Leak Hall, Silver Street, P.O. Box 351, Middletown, Connecticut, USA","Middletown, CT, USA",41.5623209,-72.6506488
39,South Windsor School District,Philip R. Smith School,Public Schools,1320111,949 Avery Street,South Windsor,06074,860-648-5025,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"949 Avery Street
South Windsor, CT 06074
(41.840452, -72.511764)","949 Avery Street, South Windsor, Connecticut, USA","949 Avery St, South Windsor, CT 06074, USA",41.8409136,-72.5135502
40,New Haven School District,Brennan Rogers School,Public Schools,932111,200 Wilmot Rd.,New Haven,06515,475-220-2200,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2010-07-01T00:00:00.000,0.0,"200 Wilmot Rd.
New Haven, CT 06515
(41.34393, -72.957877)","200 Wilmot Rd., New Haven, Connecticut, USA","200 Wilmot Rd, New Haven, CT 06515, USA",41.34404809999999,-72.95879029999999
41,Bristol School District,Edgewood School,Public Schools,170311,345 Mix St.,Bristol,06010-2785,860-584-7827,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0.0,"345 Mix St.
Bristol, CT 06010-2785
(41.701409, -72.922389)","345 Mix St., Bristol, Connecticut, USA","345 Mix St, Bristol, CT 06010, USA",41.7006464,-72.9238172
42,Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,1460 Broad St.,Hartford,06106,860-757-6100,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2000-07-01T00:00:00.000,1.0,"1460 Broad St.
Hartford, CT 06106
(41.749562, -72.687108)","1460 Broad St., Hartford, Connecticut, USA","1460 Broad St, Hartford, CT 06106, USA",41.7497553,-72.68671619999999
43,Milford School District,East Shore Middle School,Public Schools,845111,240 Chapel St.,Milford,06460-7920,203-783-3559,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"240 Chapel St.
Milford, CT 06460-7920
(41.228133, -73.001192)","240 Chapel St., Milford, Connecticut, USA","240 Chapel St, Milford, CT 06460, USA",41.2269608,-73.0020081
44,Hampton School District,Hampton School District,Public School Districts,630011,380 Main Street,Hampton,06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,"380 Main Street
Hampton, CT 06247-1416
(41.792028, -72.059904)","380 Main Street, Hampton, Connecticut, USA","380 Main St, Hampton, CT 06247, USA",41.7923494,-72.0585751
45,Connecticut Technical Education and Career System,Bullard-Havens Technical High School,CT Technical Education and Career Schools,9001116,500 Palisade Ave.,Bridgeport,06610-3458,203-579-6333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"500 Palisade Ave.
Bridgeport, CT 06610-3458
(41.200958, -73.165233)","500 Palisade Ave., Bridgeport, Connecticut, USA","500 Palisade Ave, Bridgeport, CT 06610, USA",41.2000465,-73.1637253
46,Lebanon School District,Lebanon Middle School,Public Schools,715111,891 Exeter Rd.,Lebanon,06249-1742,860-642-4702,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"891 Exeter Rd.
Lebanon, CT 06249-1742
(41.626687, -72.237829)","891 Exeter Rd., Lebanon, Connecticut, USA","891 Exeter Rd, Lebanon, CT 06249, USA",41.6251443,-72.23716550000002
47,Westport School District,Saugatuck Elementary School,Public Schools,1580811,170 Riverside Ave.,Westport,06880,203-221-2910,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"170 Riverside Ave.
Westport, CT 06880
(41.134347, -73.36511)","170 Riverside Ave., Westport, Connecticut, USA","170 Riverside Ave, Westport, CT 06880, USA",41.1340341,-73.366725
48,Danbury School District,Stadley Rough School,Public Schools,341611,25 Karen Rd.,Danbury,06811-3218,203-797-4773,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"25 Karen Rd.
Danbury, CT 06811-3218
(41.433228, -73.427559)","25 Karen Rd., Danbury, Connecticut, USA","25 Karen Rd, Danbury, CT 06811, USA",41.4330808,-73.4288076
49,New Canaan School District,New Canaan School District,Public School Districts,900011,39 Locust Avenue,New Canaan,06840,203-594-4018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"39 Locust Avenue
New Canaan, CT 06840
(41.149087, -73.491754)","39 Locust Avenue, New Canaan, Connecticut, USA","39 Locust Ave, New Canaan, CT 06840, USA",41.1489036,-73.49172039999999
50,Unified School District #1,Unified School District #1,State Agencies,3360015,24 Wolcott Hill Road,Wethersfield,06109,860-692-7537,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"24 Wolcott Hill Road
Wethersfield, CT 06109
(41.725594, -72.673225)","24 Wolcott Hill Road, Wethersfield, Connecticut, USA","24 Wolcott Hill Rd, Wethersfield, CT 06109, USA",41.7262523,-72.67249029999999
51,Newington School District,John Paterson School,Public Schools,940811,120 Church St.,Newington,06111-4801,860-666-4657,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"120 Church St.
Newington, CT 06111-4801
(41.669796, -72.738902)","120 Church St., Newington, Connecticut, USA","120 Church St, Newington, CT 06111, USA",41.6693925,-72.7378858
52,Southington School District,Southington School District,Public School Districts,1310011,200 North Main Street,Southington,06489,860-628-3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"200 North Main Street
Southington, CT 06489
(41.606331, -72.878033)","200 North Main Street, Southington, Connecticut, USA","200 N Main St, Southington, CT 06489, USA",41.6063013,-72.87938969999999
53,Windham School District,Windham Middle School,Public Schools,1635111,123 Quarry St.,Willimantic,06226-2208,860-465-2351,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"123 Quarry St.
Willimantic, CT 06226-2208
(41.722216, -72.228525)","123 Quarry St., Willimantic, Connecticut, USA","123 Quarry St, Willimantic, CT 06226, USA",41.72305900000001,-72.22764339999999
54,Canton School District,Cherry Brook Primary School,Public Schools,230211,4 Barbourtown Rd.,Canton,06019-1702,860-693-7721,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"4 Barbourtown Rd.
Canton, CT 06019-1702
(41.859124, -72.913518)","4 Barbourtown Rd., Canton, Connecticut, USA","4 Barbourtown Rd, Collinsville, CT 06019, USA",41.8599036,-72.9151423
55,Plainville School District,Frank T. Wheeler School,Public Schools,1100411,15 Cleverland Memorial Dr.,Plainville,06062-1329,860-793-3290,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"15 Cleverland Memorial Dr.
Plainville, CT 06062-1329
(41.684595, -72.853194)","15 Cleverland Memorial Dr., Plainville, Connecticut, USA","15 Cleveland Memorial Dr, Plainville, CT 06062, USA",41.6846453,-72.8518248
56,Scotland School District,Scotland School District,Public School Districts,1230011,68 Brook Road,Scotland,06264,860-423-0064,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,,"68 Brook Road, Scotland, Connecticut, USA","68 Brook Rd, Scotland, CT 06264, USA",41.70328,-72.0800469
57,East Hartford School District,Sunset Ridge Middle School,Public Schools,432411,450 Forbes St.,East Hartford,06118,860-622-5800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1999-07-01T00:00:00.000,0.0,"450 Forbes St.
East Hartford, CT 06118
(41.764243, -72.600018)","450 Forbes St., East Hartford, Connecticut, USA","450 Forbes St, East Hartford, CT 06118, USA",41.7649196,-72.5989003
58,Fairfield School District,Fairfield Warde High School,Public Schools,516211,755 Melville Ave.,Fairfield,06825,203-255-8449,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"755 Melville Ave.
Fairfield, CT 06825
(41.187224, -73.23254)","755 Melville Ave., Fairfield, Connecticut, USA","755 Melville Ave, Fairfield, CT 06825, USA",41.1862602,-73.2339622
59,Regional School District 13,Frank Ward Strong School,Regional Schools,2135112,191 Main Street,Durham,06422,860-349-7222,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0.0,"191 Main Street
Durham, CT 06422
(41.475875, -72.680313)","191 Main Street, Durham, Connecticut, USA","191 Main St, Durham, CT 06422, USA",41.4763794,-72.6791521
60,Wilton School District,Middlebrook School,Public Schools,1615211,131 School Rd.,Wilton,06897-2507,203-762-8388,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"131 School Rd.
Wilton, CT 06897-2507
(41.202079, -73.432567)","131 School Rd., Wilton, Connecticut, USA","131 School Rd, Wilton, CT 06897, USA",41.20450839999999,-73.4333224
61,Greenwich School District,North Street School,Public Schools,570811,381 North St.,Greenwich,06830-3903,203-869-6756,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"381 North St.
Greenwich, CT 06830-3903
(41.058972, -73.618075)","381 North St., Greenwich, Connecticut, USA","381 North Street, Greenwich, CT 06830, USA",41.0579848,-73.6189419
62,Shelton School District,Sunnyside School,Public Schools,1260611,418 River Rd.,Shelton,06484-4524,203-922-3021,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0.0,"418 River Rd.
Shelton, CT 06484-4524
(41.29129, -73.075036)","418 River Rd., Shelton, Connecticut, USA","418 River Rd, Shelton, CT 06484, USA",41.2909358,-73.07368509999999
63,Regional School District 14,Woodbury Middle School,Regional Schools,2145112,67 Washington Ave.,Woodbury,06798-2816,203-263-4306,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0.0,"67 Washington Ave.
Woodbury, CT 06798-2816
(41.550548, -73.210265)","67 Washington Ave., Woodbury, Connecticut, USA","67 Washington Ave, Woodbury, CT 06798, USA",41.550248,-73.21263499999999
64,Ansonia School District,Ansonia Middle School,Public Schools,25111,115 Howard Ave.,Ansonia,06401,203-736-5070,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"115 Howard Ave.
Ansonia, CT 06401
(41.341368, -73.083897)","115 Howard Ave., Ansonia, Connecticut, USA","115 Howard Ave, Ansonia, CT 06401, USA",41.3412878,-73.0846596
65,Vernon School District,Maple Street School,Public Schools,1460211,20 Maple St.,Rockville,06066-3026,860-870-6175,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"20 Maple St.
Rockville, CT 06066-3026
(41.867771, -72.462736)","20 Maple St., Rockville, Connecticut, USA","20 Maple St, Vernon, CT 06066, USA",41.8677864,-72.4622608
66,Meriden School District,Hanover School,Public Schools,800311,208 Main St.,Meriden,06450-5149,203-235-6359,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"208 Main St.
Meriden, CT 06450-5149
(41.5194, -72.832629)","208 Main St., Meriden, Connecticut, USA","208 Main St, Meriden, CT 06451, USA",41.5191267,-72.8326233
67,Chaplin School District,Chaplin Elementary School,Public Schools,240211,240 Palmer Rd.,Chaplin,06235,860-455-9593,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1992-07-01T00:00:00.000,0.0,"240 Palmer Rd.
Chaplin, CT 06235
(41.789151, -72.146619)","240 Palmer Rd., Chaplin, Connecticut, USA","240 Palmer Rd, Chaplin, CT 06235, USA",41.790042,-72.148811
